host_id,ts,n_flows,n_distinct_ports,n_distinct_dsts,total_bytes,mean_duration,failed_logins,top_service,n_alerts,attack_family,label
h007,2024-03-01 01:00:00,13,4,7,160371,0.7006974897684672,0,http,0,benign,0
h008,2024-03-01 01:00:00,13,5,6,33556,0.47846534174987104,0,http,0,benign,0
h009,2024-03-01 01:00:00,17,5,5,46438,0.6872478745158174,0,http,0,benign,0
h010,2024-03-01 01:00:00,2,2,2,9421,0.7212134347365983,0,dns,0,benign,0
h011,2024-03-01 01:00:00,12,3,8,48901,0.5598943082494958,0,http,0,benign,0
h012,2024-03-01 01:00:00,26,5,8,74607,0.7558895827797532,0,http,0,benign,0
h013,2024-03-01 01:00:00,7,3,6,85336,0.6508279968884055,0,http,0,benign,0
h014,2024-03-01 01:00:00,6,3,4,13355,0.1856119423836813,0,http,0,benign,0
h015,2024-03-01 01:00:00,41,5,8,196088,0.8557798129396925,0,http,0,benign,0
h016,2024-03-01 01:00:00,21,5,8,138017,0.4719086299667105,0,http,0,benign,0
h017,2024-03-01 01:00:00,16,5,7,70677,0.5095090199159811,0,http,0,benign,0
h018,2024-03-01 01:00:00,1,1,1,708,0.09759351901884822,0,ssh,0,benign,0
h019,2024-03-01 01:00:00,5,3,4,5140,1.0708263564352922,0,http,0,benign,0
h020,2024-03-01 01:00:00,22,5,8,74810,0.5963296351851777,0,http,0,benign,0
h021,2024-03-01 01:00:00,6,4,4,14302,0.7959610406703854,0,http,0,benign,0
h022,2024-03-01 01:00:00,14,4,7,28196,0.6202958049179311,0,http,0,benign,0
h023,2024-03-01 01:00:00,1,1,1,5532,3.822388391104362,0,http,0,benign,0
h024,2024-03-01 01:00:00,5,3,5,11621,0.4456611953044648,0,http,0,benign,0
h025,2024-03-01 01:00:00,6,3,5,23674,0.8369149094704126,0,http,0,benign,0
h026,2024-03-01 01:00:00,14,3,6,56992,0.84227255164239,0,http,0,benign,0
h027,2024-03-01 01:00:00,18,4,7,42607,0.5356526758073089,0,http,0,benign,0
h028,2024-03-01 01:00:00,8,4,6,79752,0.7408232111560145,0,http,0,benign,0
h029,2024-03-01 01:00:00,3,1,2,1363421,12.208605605302251,0,ssh,0,benign,0
h030,2024-03-01 01:00:00,14,4,6,55989,0.3809323215625434,0,http,0,benign,0
h031,2024-03-01 01:00:00,6,3,4,3924,0.5117802323888611,0,http,0,benign,0
h032,2024-03-01 01:00:00,3,2,2,2771,0.4363459787498262,0,http,0,benign,0
h033,2024-03-01 01:00:00,32,4,8,182345,0.36399863851236175,0,http,0,benign,0
h034,2024-03-01 01:00:00,8,2,5,25009,0.6041811634365688,0,http,0,benign,0
h035,2024-03-01 01:00:00,11,4,5,39362,0.6342815325530492,0,http,0,benign,0
h036,2024-03-01 01:00:00,13,4,6,39804,0.40967721800422213,0,http,0,benign,0
h037,2024-03-01 01:00:00,50,1,3,7828,0.27580807671527036,34,ssh,1,bruteforce,1
h038,2024-03-01 01:00:00,15,4,7,67726,0.52717372623862,0,http,0,benign,0
h039,2024-03-01 01:00:00,49,47,28,149178,0.50277165869033,0,other,0,benign,0
h040,2024-03-01 01:00:00,5,4,3,27602,0.20902516939653237,0,ssh,0,benign,0
h041,2024-03-01 01:00:00,6,3,5,13573,0.6613953824144251,0,http,0,benign,0
h042,2024-03-01 01:00:00,8,5,4,18358,0.8300619075147324,0,http,0,benign,0
h043,2024-03-01 01:00:00,12,5,5,82903,0.3368618664366611,0,http,0,benign,0
h044,2024-03-01 01:00:00,16,4,7,65938,0.5646241766062479,0,http,0,benign,0
h045,2024-03-01 01:00:00,117,105,83,7401,0.05287299134773338,0,other,0,benign,0
h046,2024-03-01 01:00:00,9,3,6,32408,0.5095815986909337,0,http,0,benign,0
h047,2024-03-01 01:00:00,9,3,4,33056,1.0231047860397362,0,http,0,benign,0
h048,2024-03-01 01:00:00,10,4,6,22705,0.4702607182902714,0,http,0,benign,0
h049,2024-03-01 01:00:00,18,5,6,61424,0.49519519335187945,0,http,0,benign,0
h050,2024-03-01 01:00:00,3,2,2,1109596,4.5223504472977405,0,http,0,benign,0
h051,2024-03-01 01:00:00,1,1,1,509,0.27327081093493577,0,http,0,benign,0
h052,2024-03-01 01:00:00,11,5,6,22370,0.519253981386221,0,http,0,benign,0
h053,2024-03-01 01:00:00,15,5,6,45414,0.9908978065067827,0,http,0,benign,0
h054,2024-03-01 01:00:00,9,5,6,34914,1.3038451890285203,0,http,0,benign,0
h055,2024-03-01 01:00:00,28,4,8,99708,0.5331428018437198,0,http,0,benign,0
h056,2024-03-01 01:00:00,1,1,1,1955,2.706292222088335,0,http,0,benign,0
h057,2024-03-01 01:00:00,3,3,3,49603,0.17124770220146754,0,http,0,benign,0
h058,2024-03-01 01:00:00,11,4,7,51734,0.575139516987552,0,http,0,benign,0
h059,2024-03-01 01:00:00,17,4,8,202898,0.8907395899132894,0,http,0,benign,0
h000,2024-03-01 02:00:00,47,5,8,288689,0.5381250293264261,0,http,0,benign,0
h001,2024-03-01 02:00:00,52,1,3,9486,0.25807659463951177,45,ssh,1,bruteforce,1
h002,2024-03-01 02:00:00,4,3,3,9522,0.5158169905236424,0,ssh,0,benign,0
h003,2024-03-01 02:00:00,4,1,4,17523,0.7571541665204603,0,http,0,benign,0
h004,2024-03-01 02:00:00,52,48,28,156902,0.4524517134061208,0,other,0,benign,0
h005,2024-03-01 02:00:00,4,3,3,15571,0.6899740845621612,0,http,0,benign,0
h006,2024-03-01 02:00:00,10,4,4,33693,0.33579841580375913,0,http,0,benign,0
h007,2024-03-01 02:00:00,15,4,7,110237,0.7160549984220984,0,http,0,benign,0
h008,2024-03-01 02:00:00,6,4,4,22816,0.3724959811056514,0,http,0,benign,0
h009,2024-03-01 02:00:00,17,4,5,68916,0.5366848117671068,0,http,0,benign,0
h010,2024-03-01 02:00:00,7,3,4,16083,0.3565771118176646,0,http,0,benign,0
h011,2024-03-01 02:00:00,7,3,4,40547,0.2997584063301244,1,http,0,benign,0
h012,2024-03-01 02:00:00,3,2,2,3522,0.4450928034979686,0,http,0,benign,0
h013,2024-03-01 02:00:00,5,3,4,37106,0.49987050278598416,1,http,0,benign,0
h014,2024-03-01 02:00:00,82,79,58,5280,0.060423024695536065,0,other,1,portscan,1
h015,2024-03-01 02:00:00,26,5,8,92226,0.8880969799942527,0,http,0,benign,0
h016,2024-03-01 02:00:00,16,5,7,64738,0.6537591277648995,0,http,0,benign,0
h017,2024-03-01 02:00:00,25,5,8,139631,0.6925068124036193,1,http,0,benign,0
h018,2024-03-01 02:00:00,9,4,6,162698,0.7473773560189518,0,http,1,benign,0
h019,2024-03-01 02:00:00,14,3,6,48509,0.5209472607291262,0,http,0,benign,0
h020,2024-03-01 02:00:00,12,4,7,38554,0.5566172294171344,0,http,0,benign,0
h021,2024-03-01 02:00:00,12,3,6,52547,0.5017609869547305,0,http,0,benign,0
h022,2024-03-01 02:00:00,6,3,5,45235,0.7461300325817869,0,http,0,benign,0
h023,2024-03-01 02:00:00,5,3,5,9044,0.5824664716298783,0,http,0,benign,0
h024,2024-03-01 02:00:00,16,4,8,61090,0.574779468212208,0,http,0,benign,0
h025,2024-03-01 02:00:00,104,95,72,7448,0.05341394475579753,0,other,1,portscan,1
h026,2024-03-01 02:00:00,5,2,3,15236,0.6114131370906141,0,http,0,benign,0
h027,2024-03-01 02:00:00,25,5,8,149977,0.49542246393341144,0,http,0,benign,0
h028,2024-03-01 02:00:00,48,45,25,104827,0.6775627188628254,0,other,0,benign,0
h029,2024-03-01 02:00:00,8,4,6,34207,0.6100119604070328,0,http,0,benign,0
h030,2024-03-01 02:00:00,8,4,6,43333,0.45540000087109644,0,http,0,benign,0
h031,2024-03-01 02:00:00,17,4,8,58011,1.231298348613561,0,http,0,benign,0
h032,2024-03-01 02:00:00,5,2,5,14386,0.5016014874922393,0,http,0,benign,0
h033,2024-03-01 02:00:00,39,5,8,229544,0.7108259953946913,0,http,0,benign,0
h034,2024-03-01 02:00:00,10,4,4,26745,0.6610016618581701,0,http,0,benign,0
h035,2024-03-01 02:00:00,6,3,5,73571,1.0171496396810893,0,http,0,benign,0
h036,2024-03-01 02:00:00,15,5,6,71376,0.6321238749326313,0,http,0,benign,0
h037,2024-03-01 02:00:00,7,3,4,17616,0.4564451248761037,0,http,0,benign,0
h038,2024-03-01 02:00:00,8,2,5,29315,0.41540632497073054,0,http,0,benign,0
h039,2024-03-01 02:00:00,10,4,6,39156,0.5589867812306423,0,http,0,benign,0
h040,2024-03-01 02:00:00,12,3,6,37289,0.6552238517534715,0,http,0,benign,0
h041,2024-03-01 02:00:00,24,4,8,97716,0.44379357713074624,0,http,0,benign,0
h042,2024-03-01 02:00:00,16,4,7,40575,0.7829014978668494,0,http,0,benign,0
h043,2024-03-01 02:00:00,13,3,5,63861,0.36288957778332964,0,http,0,benign,0
h044,2024-03-01 02:00:00,16,4,7,24704,0.43071718748604837,0,http,0,benign,0
h045,2024-03-01 02:00:00,17,5,8,42704,0.44982521645474166,0,http,0,benign,0
h046,2024-03-01 02:00:00,2,1,1,4323,0.3480510110909898,0,http,0,benign,0
h047,2024-03-01 02:00:00,3,2,3,24466,0.4624271306183137,0,http,0,benign,0
h048,2024-03-01 02:00:00,62,51,31,192079,0.6104396868968477,0,other,0,benign,0
h049,2024-03-01 02:00:00,60,57,28,210862,0.582394612942258,0,other,0,benign,0
h050,2024-03-01 02:00:00,14,4,8,92977,0.44433831973699967,0,http,0,benign,0
h051,2024-03-01 02:00:00,47,45,30,124686,0.8038832117046211,0,other,0,benign,0
h052,2024-03-01 02:00:00,22,5,8,92948,0.8167107825851588,0,http,0,benign,0
h053,2024-03-01 02:00:00,3,2,3,25227,1.5175870743350917,0,http,0,benign,0
h054,2024-03-01 02:00:00,11,4,7,44394,0.5353460365730816,0,http,0,benign,0
h055,2024-03-01 02:00:00,3,3,3,5090,0.4103188998343496,0,http,0,benign,0
h056,2024-03-01 02:00:00,14,4,5,31388,0.49384652230642284,1,http,0,benign,0
h057,2024-03-01 02:00:00,7,3,4,18917,0.5489839877608699,0,http,0,benign,0
h058,2024-03-01 02:00:00,10,3,7,73795,0.9275821068961783,0,http,0,benign,0
h059,2024-03-01 02:00:00,9,4,6,29314,0.9260066096612228,0,ssh,0,benign,0
h000,2024-03-01 03:00:00,25,5,7,69291,0.4900368907366673,0,http,0,benign,0
h001,2024-03-01 03:00:00,12,5,7,18910,0.9387383797848727,0,http,0,benign,0
h002,2024-03-01 03:00:00,2,2,1,626,0.20407903170488612,0,ssh,0,benign,0
h003,2024-03-01 03:00:00,1,1,1,418,0.22184725088242385,0,dns,0,benign,0
h004,2024-03-01 03:00:00,40,5,8,106544,0.6000275841803174,0,http,0,benign,0
h005,2024-03-01 03:00:00,6,4,4,13163,0.5717869041298154,1,http,0,benign,0
h006,2024-03-01 03:00:00,13,4,6,56165,0.4665057475314626,0,http,0,benign,0
h007,2024-03-01 03:00:00,5,3,3,23466,0.7985274484023744,0,http,0,benign,0
h008,2024-03-01 03:00:00,10,3,5,28199,0.26125088494883186,0,http,0,benign,0
h009,2024-03-01 03:00:00,6,4,3,23109,0.6363246758043746,0,http,0,benign,0
h010,2024-03-01 03:00:00,9,2,2,4226638,19.35048579824578,0,ssh,0,benign,0
h011,2024-03-01 03:00:00,4,2,3,50388,0.6819634483106485,0,http,0,benign,0
h012,2024-03-01 03:00:00,5,3,3,15118,0.5218304917292589,0,http,0,benign,0
h013,2024-03-01 03:00:00,8,4,7,171211,0.1805855194976656,0,http,0,benign,0
h014,2024-03-01 03:00:00,6,2,3,26052,0.6407928754183334,0,http,0,benign,0
h015,2024-03-01 03:00:00,50,48,28,108025,0.5179818436574551,0,other,1,benign,0
h016,2024-03-01 03:00:00,8,4,6,63661,0.13753373393301002,0,http,0,benign,0
h017,2024-03-01 03:00:00,14,4,7,61768,0.7547642536372875,0,http,0,benign,0
h018,2024-03-01 03:00:00,5,2,4,19765,0.3942458582550525,0,http,0,benign,0
h019,2024-03-01 03:00:00,6,4,4,21965,0.1677135205447214,0,http,0,benign,0
h020,2024-03-01 03:00:00,7,3,6,17707,0.3083446003202827,0,http,0,benign,0
h021,2024-03-01 03:00:00,11,4,7,29572,0.6715125947060007,0,dns,0,benign,0
h022,2024-03-01 03:00:00,20,5,8,85739,0.8650896461050209,1,http,0,benign,0
h023,2024-03-01 03:00:00,4,3,4,18670,0.5173813470482163,0,http,0,benign,0
h024,2024-03-01 03:00:00,7,4,4,17194,0.5100217525453555,0,http,0,benign,0
h025,2024-03-01 03:00:00,2,1,2,12433,0.6726915164548795,0,dns,0,benign,0
h026,2024-03-01 03:00:00,50,49,28,135254,0.5563757302462239,0,other,0,benign,0
h027,2024-03-01 03:00:00,1,1,1,3067,0.2080851869238667,0,http,0,benign,0
h028,2024-03-01 03:00:00,7,5,5,44999,0.45242404242696743,0,http,0,benign,0
h029,2024-03-01 03:00:00,39,1,3,6064,0.24855066208620571,34,ssh,1,bruteforce,1
h030,2024-03-01 03:00:00,13,4,8,93228,0.46534358438628953,0,http,0,benign,0
h031,2024-03-01 03:00:00,8,2,2,5143733,12.268397871542073,0,ssh,0,benign,0
h032,2024-03-01 03:00:00,16,4,5,59980,0.6019732485508664,0,http,0,benign,0
h033,2024-03-01 03:00:00,2,2,2,50420,0.8842747149573698,0,http,0,benign,0
h034,2024-03-01 03:00:00,5,3,3,35597,0.2565210939243469,0,http,0,benign,0
h035,2024-03-01 03:00:00,2,2,2,5007,0.6583926904486923,0,smtp,0,benign,0
h036,2024-03-01 03:00:00,6,3,5,16164,0.3136674996089973,0,http,0,benign,0
h037,2024-03-01 03:00:00,10,3,8,86742,0.7283716020166148,0,http,0,benign,0
h038,2024-03-01 03:00:00,29,5,7,76806,1.1943730896800624,0,http,0,benign,0
h039,2024-03-01 03:00:00,11,5,6,25901,0.4542093520256297,0,http,0,benign,0
h040,2024-03-01 03:00:00,23,4,8,122852,0.48083580898684725,0,http,0,benign,0
h041,2024-03-01 03:00:00,9,4,5,55037,0.3238760910138988,2,http,0,benign,0
h042,2024-03-01 03:00:00,6,2,4,22727,0.2963910831128684,0,http,0,benign,0
h043,2024-03-01 03:00:00,10,4,6,56259,0.47792381201032574,0,http,0,benign,0
h044,2024-03-01 03:00:00,19,5,8,131070,1.0968627088371024,0,http,0,benign,0
h045,2024-03-01 03:00:00,3,2,3,14496,0.44512822882358205,0,http,0,benign,0
h046,2024-03-01 03:00:00,13,5,5,25978,0.47760575437158637,1,http,0,benign,0
h047,2024-03-01 03:00:00,3,2,3,35736,0.8691079219691145,0,http,0,benign,0
h048,2024-03-01 03:00:00,2,2,2,5053,0.17091604471666977,0,ssh,0,benign,0
h049,2024-03-01 03:00:00,14,5,7,38571,0.3602113388045442,0,http,0,benign,0
h050,2024-03-01 03:00:00,16,4,8,48544,0.48981885849793405,0,http,0,benign,0
h051,2024-03-01 03:00:00,4,3,4,5527,0.5391927891827885,1,dns,0,benign,0
h052,2024-03-01 03:00:00,3,2,2,16495,0.9196633150065203,0,http,0,benign,0
h053,2024-03-01 03:00:00,21,5,8,78092,0.5658349773173222,0,http,0,benign,0
h054,2024-03-01 03:00:00,51,1,3,7432,0.25146409715510326,43,ssh,0,benign,0
h055,2024-03-01 03:00:00,11,4,6,44447,0.28274408337109097,0,http,0,benign,0
h056,2024-03-01 03:00:00,6,2,5,20406,0.8661183983861221,0,http,0,benign,0
h057,2024-03-01 03:00:00,12,4,7,37471,0.5349981127931003,0,http,0,benign,0
h058,2024-03-01 03:00:00,70,66,49,4438,0.054038358643684004,0,other,1,portscan,1
h059,2024-03-01 03:00:00,22,4,7,60285,0.8160810847598796,0,http,0,benign,0
h000,2024-03-01 04:00:00,14,4,7,46781,0.6506422264613115,0,http,0,benign,0
h001,2024-03-01 04:00:00,18,5,7,70630,0.4143561413849915,0,http,0,benign,0
h002,2024-03-01 04:00:00,18,4,8,40342,0.6096260072493538,0,http,0,benign,0
h003,2024-03-01 04:00:00,5,3,4,4754,0.9564919607918079,0,http,0,benign,0
h004,2024-03-01 04:00:00,31,4,7,609781,0.5384806209438731,0,http,0,benign,0
h005,2024-03-01 04:00:00,20,5,7,124969,0.5304403235435633,0,http,0,benign,0
h006,2024-03-01 04:00:00,35,5,8,133078,0.5471799015544003,1,http,0,benign,0
h007,2024-03-01 04:00:00,12,4,7,166516,0.6589516143145009,0,http,0,benign,0
h008,2024-03-01 04:00:00,47,44,25,110580,0.658556583697539,0,other,0,benign,0
h009,2024-03-01 04:00:00,9,3,5,22974,0.8119582023983771,0,http,0,benign,0
h010,2024-03-01 04:00:00,5,3,4,12689,0.4470232738988149,1,http,0,benign,0
h011,2024-03-01 04:00:00,17,5,7,67089,0.5287237723627112,0,http,0,benign,0
h012,2024-03-01 04:00:00,24,5,7,68346,0.6482768675969158,2,http,0,benign,0
h013,2024-03-01 04:00:00,19,5,8,57076,0.4290612480264737,0,http,0,benign,0
h014,2024-03-01 04:00:00,21,4,8,41770,0.9211939282509657,1,http,0,benign,0
h015,2024-03-01 04:00:00,10,5,7,32502,0.9677502792309459,0,dns,0,benign,0
h016,2024-03-01 04:00:00,8,2,2,3546243,24.882398425968802,0,http,0,benign,0
h017,2024-03-01 04:00:00,4,2,3,10676,0.3636112210170317,0,http,0,benign,0
h018,2024-03-01 04:00:00,20,5,8,109434,0.4558770761875207,0,http,0,benign,0
h019,2024-03-01 04:00:00,3,1,2,6142,0.6448109142835045,0,http,0,benign,0
h020,2024-03-01 04:00:00,13,5,8,56343,0.7304217786113759,0,http,0,benign,0
h021,2024-03-01 04:00:00,8,4,6,32054,0.16121038017425657,0,http,0,benign,0
h022,2024-03-01 04:00:00,3,2,2,1098658,14.528886604068314,0,ssh,0,benign,0
h023,2024-03-01 04:00:00,20,5,7,84294,0.34991488161027456,0,http,0,benign,0
h024,2024-03-01 04:00:00,5,2,2,2152539,17.755078164132506,0,ssh,0,benign,0
h025,2024-03-01 04:00:00,15,4,7,25762,0.7288121883082876,1,http,0,benign,0
h026,2024-03-01 04:00:00,25,5,8,83910,1.024619628039986,0,http,0,benign,0
h027,2024-03-01 04:00:00,21,5,8,62693,0.8440092669731862,1,http,0,benign,0
h028,2024-03-01 04:00:00,7,3,5,25934,1.3446458939567392,0,http,0,benign,0
h029,2024-03-01 04:00:00,22,4,7,66329,0.6369830176846872,0,http,0,benign,0
h030,2024-03-01 04:00:00,14,3,7,67777,0.528864225950619,0,http,0,benign,0
h031,2024-03-01 04:00:00,4,3,3,8981,0.36078288075404097,0,http,0,benign,0
h032,2024-03-01 04:00:00,14,5,7,37411,0.7318816954031325,0,http,0,benign,0
h033,2024-03-01 04:00:00,12,5,6,121561,0.5614520275524756,0,http,0,benign,0
h034,2024-03-01 04:00:00,4,1,3,20365,0.5734022112536762,0,http,0,benign,0
h035,2024-03-01 04:00:00,10,5,6,83630,0.6696249925046687,0,http,0,benign,0
h036,2024-03-01 04:00:00,12,5,6,57853,0.6394632011402438,0,http,0,benign,0
h037,2024-03-01 04:00:00,36,5,8,141181,0.7415806236919881,0,http,0,benign,0
h038,2024-03-01 04:00:00,12,5,6,78157,0.4297020515322134,0,http,0,benign,0
h039,2024-03-01 04:00:00,8,3,4,13699,0.39938542526642734,0,http,0,benign,0
h040,2024-03-01 04:00:00,30,5,7,121915,0.49722192331880677,0,http,0,benign,0
h041,2024-03-01 04:00:00,3,2,3,33650,0.15695364871523565,0,http,0,benign,0
h042,2024-03-01 04:00:00,20,4,7,73882,0.4003035820433444,1,http,0,benign,0
h043,2024-03-01 04:00:00,2,2,2,8887,0.47122123674356675,0,http,0,benign,0
h044,2024-03-01 04:00:00,30,5,8,116204,0.7824451063259157,0,http,0,benign,0
h045,2024-03-01 04:00:00,8,4,5,17926,1.405402728218041,0,http,0,benign,0
h046,2024-03-01 04:00:00,13,3,7,52270,0.7149826212870332,1,http,0,benign,0
h047,2024-03-01 04:00:00,14,4,7,34305,0.6931618632674933,0,http,0,benign,0
h048,2024-03-01 04:00:00,22,5,8,66964,0.7051273141745367,0,http,0,benign,0
h049,2024-03-01 04:00:00,11,4,7,39449,0.42603196093290696,0,http,0,benign,0
h050,2024-03-01 04:00:00,19,4,8,60638,0.5543871998249792,0,http,0,benign,0
h051,2024-03-01 04:00:00,88,1,3,15370,0.2768333611290589,85,ssh,1,bruteforce,1
h052,2024-03-01 04:00:00,33,5,8,128222,0.6371537855911907,0,http,0,benign,0
h053,2024-03-01 04:00:00,15,5,8,29493,0.7292836496909004,0,http,0,benign,0
h054,2024-03-01 04:00:00,4,3,4,7074,0.4849338102024202,0,http,0,benign,0
h055,2024-03-01 04:00:00,9,4,6,15398,0.9761019725231268,0,http,0,benign,0
h056,2024-03-01 04:00:00,17,4,6,55940,0.49227938423983075,0,http,0,benign,0
h057,2024-03-01 04:00:00,3,2,2,741850,11.442163221780184,0,http,0,benign,0
h058,2024-03-01 04:00:00,5,2,2,3139930,17.39708309147611,0,ssh,0,benign,0
h059,2024-03-01 04:00:00,20,4,7,63728,0.6502724636036997,0,http,0,benign,0
h000,2024-03-01 05:00:00,13,3,7,57601,0.5625385499800452,0,http,0,benign,0
h001,2024-03-01 05:00:00,10,3,7,23771,0.51373662579692,1,http,0,benign,0
h002,2024-03-01 05:00:00,10,4,6,32382,0.42211711423353016,0,http,0,benign,0
h003,2024-03-01 05:00:00,19,4,8,91597,0.6739429045786008,0,http,0,benign,0
h004,2024-03-01 05:00:00,14,3,4,61347,0.3547989510046197,0,http,0,benign,0
h005,2024-03-01 05:00:00,50,44,28,161928,0.5317450281631055,0,other,0,benign,0
h006,2024-03-01 05:00:00,50,47,27,152656,0.8639040284502559,0,other,0,benign,0
